fold,row_index
0,1893
0,6611
0,2921
0,13394
0,12948
0,1845
0,4263
0,12425
0,4247
0,15745
0,10691
0,1553
0,1972
0,2818
0,9287
0,9699
0,13497
0,13161
0,5093
0,4495
0,2805
0,13855
0,1540
0,142
0,14797
0,14639
0,7492
0,2569
0,7675
0,8457
0,3595
0,4036
0,2919
0,17426
0,15908
0,16110
0,16655
0,6020
0,7852
0,13571
0,14983
0,12104
0,4462
0,2641
0,11107
0,9095
0,13868
0,2285
0,14384
0,2049
0,13697
0,11603
0,8787
0,8761
0,16259
0,7454
0,9030
0,15705
0,7657
0,12545
0,15524
0,9594
0,13695
0,11893
0,14649
0,12282
0,12195
0,5528
0,3861
0,5875
0,1195
0,2760
0,15151
0,5957
0,12962
0,17400
0,6226
0,13642
0,5838
0,4630
0,6530
0,10805
0,11727
0,12979
0,6940
0,3572
0,5502
0,7364
0,8228
0,12105
0,14251
0,14066
0,577
0,13046
0,16103
0,14593
0,1418
0,2084
0,6213
0,2813
0,8892
0,13664
0,13441
0,13675
0,1543
0,10933
0,5833
0,14938
0,6488
0,4700
0,15721
0,9447
0,15215
0,3081
0,11348
0,1483
0,11213
0,13814
0,15839
0,7763
0,16429
0,4585
0,2332
0,14409
0,9652
0,7280
0,13993
0,6768
0,10731
0,8455
0,15030
0,12002
0,6637
0,763
0,12529
0,4030
0,10464
0,11418
0,3158
0,10985
0,8114
0,11829
0,4672
0,5105
0,11205
0,4408
0,17236
0,7180
0,12846
0,15294
0,10005
0,13500
0,12056
0,3253
0,1124
0,5178
0,17425
0,8073
0,6667
0,15217
0,8479
0,13324
0,8486
0,7520
0,10431
0,9692
0,13416
0,4532
0,16326
0,2029
0,60
0,4694
0,2183
0,8732
0,4330
0,2128
0,6737
0,16161
0,9697
0,8309
0,15900
0,9506
0,9627
0,5636
0,3151
0,5816
0,16122
0,4281
0,2071
0,1103
0,6104
0,2791
0,15672
0,1884
0,4040
0,12471
0,16139
0,15784
0,74
0,2632
0,13268
0,8369
0,16536
0,10997
0,12732
0,9661
0,13345
0,15017
0,13068
0,11384
0,2021
0,1603
0,16484
0,16519
0,2474
0,2031
0,812
0,14822
0,8062
0,5076
0,3982
0,489
0,7639
0,15245
0,14106
0,9902
0,1482
0,7655
0,15146
0,16800
0,2111
0,8816
0,11372
0,9243
0,7198
0,7071
0,1050
0,16981
0,11305
0,5651
0,7276
0,9505
0,13942
0,16548
0,6676
0,12398
0,2429
0,8994
0,4938
0,12740
0,16414
0,17208
0,7712
0,17218
0,13505
0,13879
0,12960
0,8031
0,14535
0,16602
0,16989
0,7115
0,9176
0,6279
0,9532
0,15565
0,3882
0,5265
0,12235
0,13280
0,11416
0,7405
0,4595
0,3899
0,3318
0,2200
0,5338
0,159
0,13864
0,8637
0,51
0,2472
0,16482
0,9391
0,8340
0,6260
0,1846
0,7077
0,12048
0,12765
0,183
0,3919
0,12638
0,5206
0,5753
0,5285
0,775
0,13442
0,48
0,13968
0,14046
0,622
0,14564
0,7182
0,15903
0,9560
0,12823
0,16112
0,1078
0,11399
0,4230
0,7027
0,4003
0,16373
0,4612
0,13779
0,11357
0,11732
0,1425
0,4704
0,6023
0,9381
0,17119
0,17266
0,5852
0,15622
0,2357
0,14693
0,2124
0,7842
0,12357
0,6511
0,9823
0,9875
0,6975
0,8406
0,13672
0,14058
0,2959
0,12686
0,14769
0,10231
0,12523
0,10572
0,6046
0,2585
0,16572
0,15688
0,13576
0,6839
0,275
0,12844
0,1172
0,308
0,9992
0,15828
0,16702
0,16709
0,12626
0,5082
0,845
0,760
0,12418
0,2509
0,12598
0,15248
0,3375
0,11251
0,10271
0,8491
0,8380
0,2984
0,16467
0,2767
0,10912
0,8611
0,5772
0,13591
0,974
0,13381
0,127
0,5727
0,14344
0,4288
0,9930
0,3019
0,17347
0,16814
0,14279
0,295
0,7153
0,16569
0,4656
0,16394
0,1534
0,4171
0,4191
0,5815
0,2625
0,13093
0,4399
0,69
0,12661
0,16537
0,11617
0,2759
0,5617
0,4467
0,17278
0,2778
0,6918
0,1427
0,5831
0,335
0,7460
0,16970
0,12601
0,11551
0,7694
0,7049
0,15103
0,2087
0,548
0,15305
0,9429
0,10346
0,14880
0,13925
0,15022
0,12708
0,624
0,14229
0,8505
0,6889
0,15706
0,6292
0,5992
0,10022
0,5982
0,2192
0,3719
0,12173
0,11103
0,9757
0,15743
0,4172
0,5044
0,14525
0,17323
0,3634
0,7046
0,15470
0,2052
0,2972
0,6916
0,4872
0,9782
0,7824
0,4476
0,10668
0,1727
0,16209
0,13662
0,488
0,3474
0,9227
0,7057
0,6704
0,15988
0,13402
0,3921
0,13609
0,14980
0,11540
0,9559
0,292
0,14249
0,3998
0,5225
0,7259
0,11716
0,14658
0,11091
0,10270
0,1392
0,12419
0,8108
0,5291
0,11193
0,6245
0,14923
0,5943
0,663
0,7695
0,654
0,14541
0,10894
0,8074
0,9122
0,9529
0,6195
0,17418
0,6503
0,7905
0,8711
0,16466
0,610
0,9253
0,980
0,9423
0,16222
0,12
0,10109
0,12753
0,2190
0,3959
0,2007
0,1957
0,9650
0,1854
0,9244
0,10813
0,17012
0,12307
0,1889
0,10439
0,15121
0,7406
0,8360
0,7375
0,13430
0,787
0,212
0,5988
0,7479
0,12993
0,15597
0,15574
0,2365
0,12882
0,6878
0,772
0,2724
0,3594
0,499
0,261
0,12863
0,11482
0,9960
0,6323
0,15492
0,11885
0,2384
0,15686
0,1469
0,1881
0,2201
0,2817
0,11080
0,1013
0,11452
0,2393
0,768
0,10357
0,5948
0,737
0,9055
0,5431
0,17155
0,15602
0,12862
0,9596
0,156
0,12123
0,2783
0,11839
0,15611
0,12239
0,13783
0,4026
0,6877
0,3567
0,15003
0,11309
0,4144
0,7645
0,3586
0,6366
0,221
0,9251
0,5778
0,12890
0,1915
0,2214
0,6821
0,9606
0,10916
0,201
0,1182
0,9467
0,15369
0,14723
0,15950
0,15931
0,4853
0,12923
0,154
0,3681
0,1921
0,7564
0,4390
0,841
0,379
0,16
0,15289
0,16041
0,7224
0,10445
0,12291
0,3213
0,5577
0,4018
0,11094
0,8
0,3940
0,2402
0,8273
0,12084
0,3913
0,11056
0,9328
0,13669
0,14189
0,15250
0,5584
0,14377
0,8848
0,11292
0,10828
0,2619
0,15718
0,12791
0,2455
0,5804
0,11266
0,4794
0,13187
0,16239
0,5911
0,8085
0,12511
0,10534
0,7731
0,10495
0,12353
0,8038
0,4891
0,12354
0,4219
0,17331
0,2040
0,7702
0,7038
0,16604
0,9967
0,2272
0,14773
0,3590
0,3265
0,461
0,11769
0,1829
0,380
0,2777
0,13399
0,12877
0,11745
0,8490
0,861
0,1785
0,1933
0,1818
0,5891
0,6549
0,10018
0,5606
0,3480
0,5492
0,11064
0,7825
0,1129
0,11534
0,15438
0,11344
0,223
0,16876
0,124
0,14711
0,578
0,15615
0,13926
0,11280
0,3023
0,10713
0,14819
0,5552
0,3873
0,10652
0,13154
0,8683
0,16422
0,17086
0,14913
0,10714
0,829
0,8089
0,13859
0,6472
0,10160
0,1870
0,11149
0,9308
0,7745
0,5644
0,10584
0,15298
0,11599
0,1479
0,13204
0,1624
0,14397
0,15671
0,1187
0,6199
0,8100
0,10976
0,16877
0,16130
0,7212
0,4395
0,16158
0,6912
0,11206
0,13480
0,14131
0,9535
0,5844
0,17289
0,17071
0,8780
0,14902
0,6571
0,14760
0,11849
0,14140
0,12000
0,15068
0,6925
0,791
0,11899
0,12642
0,4012
0,2976
0,10853
0,1358
0,16079
0,12197
0,2122
0,12499
0,11898
0,632
0,17160
0,6953
0,15873
0,2223
0,11925
0,5640
0,7441
0,13129
0,12938
0,1362
0,7584
0,536
0,44
0,15562
0,5101
0,11405
0,14362
0,17036
0,10708
0,10749
0,14113
0,14081
0,14435
0,13494
0,5625
0,13240
0,9185
0,3198
0,12212
0,5879
0,1179
0,5608
0,16888
0,12943
0,11166
0,16603
0,9644
0,9575
0,6196
0,7100
0,14808
0,11621
0,10485
0,1194
0,16531
0,10438
0,11494
0,11512
0,9049
0,13531
0,1290
0,5897
0,1916
0,4804
0,17196
0,8359
0,15154
0,5501
0,17393
0,1647
0,10435
0,7117
0,15067
0,2709
0,15116
0,12100
0,8790
0,8998
0,4663
0,16010
0,7118
0,7205
0,12936
0,16065
0,9044
0,9398
0,14197
0,4336
0,4114
0,12382
0,10021
0,3314
0,4880
0,3284
0,6738
0,4149
0,11842
0,9854
0,12733
0,15226
0,16684
0,7104
0,16398
0,8426
0,3181
0,10448
0,5249
0,5366
0,888
0,9939
0,8580
0,14709
0,11136
0,12036
0,6753
0,1952
0,12408
0,11307
0,8308
0,6726
0,1018
0,14448
0,15633
0,15554
0,6204
0,9368
0,1835
0,13885
0,11796
0,17032
